Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade de Estoque,Filial,Data da Venda
Sombra de olhos,Eletrodomésticos,31.04,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,34.19,Indisponivel,Filial 7,Indisponivel
Base líquida,Eletrodomésticos,78.59,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Eletrodomésticos,49.33,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,5.84,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Roupas,18.88,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrônicos,40.34,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Eletrodomésticos,80.61,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrônicos,41.92,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,49.24,Indisponivel,Filial 9,Indisponivel
Base líquida,Roupas,37.93,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,24.28,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Eletrodomésticos,28.68,Indisponivel,Filial 2,Indisponivel
Base líquida,Eletrônicos,90.32,Indisponivel,Filial 1,Indisponivel
Batom líquido,Eletrodomésticos,7.99,Indisponivel,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,41.99,Indisponivel,Filial 9,Indisponivel
Corretivo,Roupas,14.31,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Alimentos,58.45,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Roupas,20.89,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrodomésticos,64.0,Indisponivel,Filial 2,Indisponivel
Pó compacto,Eletrodomésticos,11.42,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,72.36,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Eletrônicos,65.02,Indisponivel,Filial 10,Indisponivel
Pó compacto,Eletrodomésticos,75.26,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,26.38,Indisponivel,Filial 3,Indisponivel
Corretivo,Eletrodomésticos,93.99,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,86.71,Indisponivel,Filial 7,Indisponivel
Pó compacto,Alimentos,26.53,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,17.06,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,6.66,Indisponivel,Filial 8,Indisponivel
Blush em pó,Roupas,78.67,Indisponivel,Filial 10,Indisponivel
Base líquida,Eletrodomésticos,70.98,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Roupas,37.08,Indisponivel,Filial 2,Indisponivel
Corretivo,Roupas,93.9,Indisponivel,Filial 8,Indisponivel
Pó compacto,Alimentos,62.94,Indisponivel,Filial 7,Indisponivel
Blush em pó,Alimentos,84.91,Indisponivel,Filial 6,Indisponivel
Batom matte,Roupas,42.41,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Alimentos,79.25,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrônicos,37.17,Indisponivel,Filial 7,Indisponivel
Sombra de olhos,Roupas,33.38,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Eletrônicos,86.56,Indisponivel,Filial 5,Indisponivel
Batom líquido,Eletrodomésticos,80.83,Indisponivel,Filial 1,Indisponivel
Batom líquido,Eletrônicos,45.82,Indisponivel,Filial 8,Indisponivel
Batom matte,Eletrodomésticos,68.11,Indisponivel,Filial 7,Indisponivel
Batom matte,Eletrônicos,46.0,Indisponivel,Filial 3,Indisponivel
Batom matte,Roupas,48.87,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Roupas,64.28,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Eletrodomésticos,26.71,Indisponivel,Filial 7,Indisponivel
Batom matte,Eletrônicos,58.17,Indisponivel,Filial 3,Indisponivel
Sombra de olhos,Alimentos,81.93,Indisponivel,Filial 10,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,89.96,Indisponivel,Filial 10,Indisponivel
Máscara de cílios,Alimentos,75.6,Indisponivel,Filial 1,Indisponivel
Corretivo,Eletrônicos,53.98,Indisponivel,Filial 1,Indisponivel
Batom matte,Eletrodomésticos,10.25,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrodomésticos,31.76,Indisponivel,Filial 5,Indisponivel
Batom líquido,Eletrônicos,33.69,Indisponivel,Filial 9,Indisponivel
Pó compacto,Alimentos,44.9,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Alimentos,62.27,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Eletrodomésticos,15.45,Indisponivel,Filial 8,Indisponivel
Pó compacto,Roupas,1.53,Indisponivel,Filial 1,Indisponivel
Batom líquido,Eletrônicos,70.0,Indisponivel,Filial 6,Indisponivel
Pó compacto,Eletrônicos,79.24,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Roupas,79.14,Indisponivel,Filial 1,Indisponivel
Base líquida,Alimentos,99.19,Indisponivel,Filial 8,Indisponivel
Máscara de cílios,Alimentos,37.06,Indisponivel,Filial 5,Indisponivel
Pó compacto,Eletrônicos,29.8,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,52.0,Indisponivel,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,89.7,Indisponivel,Filial 3,Indisponivel
Batom líquido,Eletrodomésticos,91.31,Indisponivel,Filial 2,Indisponivel
Pó compacto,Eletrônicos,48.14,Indisponivel,Filial 6,Indisponivel
Batom líquido,Eletrodomésticos,82.31,Indisponivel,Filial 7,Indisponivel
Delineador líquido,Roupas,59.96,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrônicos,93.08,Indisponivel,Filial 9,Indisponivel
Batom líquido,Roupas,3.91,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,56.51,Indisponivel,Filial 3,Indisponivel
Delineador líquido,Roupas,11.15,Indisponivel,Filial 7,Indisponivel
Base líquida,Eletrônicos,48.75,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,33.31,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrônicos,60.97,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,14.53,Indisponivel,Filial 8,Indisponivel
Batom líquido,Alimentos,33.68,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Alimentos,2.83,Indisponivel,Filial 5,Indisponivel
Batom matte,Roupas,68.23,Indisponivel,Filial 2,Indisponivel
Pó compacto,Alimentos,21.76,Indisponivel,Filial 5,Indisponivel
Base líquida,Eletrodomésticos,47.02,Indisponivel,Filial 8,Indisponivel
Base líquida,Eletrônicos,43.03,Indisponivel,Filial 6,Indisponivel
Base líquida,Roupas,15.3,Indisponivel,Filial 2,Indisponivel
Blush em pó,Alimentos,85.81,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Eletrodomésticos,62.99,Indisponivel,Filial 9,Indisponivel
Pó compacto,Alimentos,68.27,Indisponivel,Filial 4,Indisponivel
Corretivo,Alimentos,5.31,Indisponivel,Filial 7,Indisponivel
Batom matte,Alimentos,53.41,Indisponivel,Filial 5,Indisponivel
Máscara de cílios,Eletrônicos,34.25,Indisponivel,Filial 1,Indisponivel
Blush em pó,Roupas,9.65,Indisponivel,Filial 7,Indisponivel
Batom matte,Alimentos,15.6,Indisponivel,Filial 7,Indisponivel
Pó compacto,Alimentos,82.53,Indisponivel,Filial 5,Indisponivel
Batom matte,Eletrodomésticos,99.55,Indisponivel,Filial 10,Indisponivel
Base líquida,Roupas,76.81,Indisponivel,Filial 3,Indisponivel
Blush em pó,Roupas,69.43,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrônicos,58.69,Indisponivel,Filial 10,Indisponivel
Batom matte,Roupas,98.95,Indisponivel,Filial 7,Indisponivel
Batom líquido,Eletrodomésticos,78.87,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,37.35,Indisponivel,Filial 1,Indisponivel
Sombra de olhos,Eletrônicos,36.85,Indisponivel,Filial 5,Indisponivel
Batom líquido,Eletrônicos,37.5,Indisponivel,Filial 1,Indisponivel
Corretivo,Eletrônicos,13.62,Indisponivel,Filial 1,Indisponivel
Pó compacto,Eletrônicos,8.02,Indisponivel,Filial 8,Indisponivel
Corretivo,Roupas,83.5,Indisponivel,Filial 7,Indisponivel
Delineador líquido,Alimentos,51.08,Indisponivel,Filial 9,Indisponivel
Delineador líquido,Roupas,96.37,Indisponivel,Filial 5,Indisponivel
Corretivo,Roupas,5.81,Indisponivel,Filial 9,Indisponivel
Batom matte,Alimentos,19.44,Indisponivel,Filial 8,Indisponivel
Corretivo,Alimentos,1.46,Indisponivel,Filial 10,Indisponivel
Pó compacto,Alimentos,9.15,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrônicos,9.57,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrodomésticos,49.26,Indisponivel,Filial 1,Indisponivel
Blush em pó,Eletrodomésticos,28.92,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Alimentos,94.15,Indisponivel,Filial 6,Indisponivel
Pó compacto,Roupas,48.27,Indisponivel,Filial 6,Indisponivel
Máscara de cílios,Eletrodomésticos,45.64,Indisponivel,Filial 7,Indisponivel
Batom matte,Alimentos,33.77,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrônicos,83.21,Indisponivel,Filial 2,Indisponivel
Pó compacto,Eletrônicos,22.32,Indisponivel,Filial 9,Indisponivel
Pó compacto,Eletrônicos,5.96,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,92.3,Indisponivel,Filial 8,Indisponivel
Blush em pó,Alimentos,12.34,Indisponivel,Filial 7,Indisponivel
Pó compacto,Roupas,10.27,Indisponivel,Filial 6,Indisponivel
Pó compacto,Alimentos,96.11,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,64.91,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Roupas,52.4,Indisponivel,Filial 4,Indisponivel
Base líquida,Roupas,90.54,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Roupas,70.74,Indisponivel,Filial 1,Indisponivel
Corretivo,Alimentos,62.27,Indisponivel,Filial 3,Indisponivel
Corretivo,Alimentos,48.68,Indisponivel,Filial 6,Indisponivel
Blush em pó,Alimentos,23.46,Indisponivel,Filial 2,Indisponivel
Blush em pó,Alimentos,73.78,Indisponivel,Filial 5,Indisponivel
Corretivo,Alimentos,87.16,Indisponivel,Filial 10,Indisponivel
Pó compacto,Eletrônicos,16.85,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrodomésticos,76.64,Indisponivel,Filial 1,Indisponivel
Lápis de sobrancelha,Eletrônicos,54.9,Indisponivel,Filial 7,Indisponivel
Sombra de olhos,Eletrodomésticos,27.2,Indisponivel,Filial 8,Indisponivel
Máscara de cílios,Alimentos,59.07,Indisponivel,Filial 3,Indisponivel
Sombra de olhos,Eletrônicos,99.95,Indisponivel,Filial 10,Indisponivel
Blush em pó,Eletrônicos,11.0,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,99.5,Indisponivel,Filial 10,Indisponivel
Pó compacto,Roupas,22.48,Indisponivel,Filial 7,Indisponivel
Pó compacto,Alimentos,70.12,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrônicos,47.73,Indisponivel,Filial 3,Indisponivel
Base líquida,Roupas,76.98,Indisponivel,Filial 3,Indisponivel
Blush em pó,Eletrônicos,47.95,Indisponivel,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,6.78,Indisponivel,Filial 9,Indisponivel
Corretivo,Eletrodomésticos,22.66,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Roupas,47.59,Indisponivel,Filial 5,Indisponivel
Pó compacto,Eletrônicos,8.67,Indisponivel,Filial 6,Indisponivel
Batom matte,Roupas,51.75,Indisponivel,Filial 10,Indisponivel
Máscara de cílios,Roupas,55.75,Indisponivel,Filial 1,Indisponivel
Batom matte,Eletrodomésticos,38.21,Indisponivel,Filial 5,Indisponivel
Batom matte,Eletrônicos,90.65,Indisponivel,Filial 10,Indisponivel
Pó compacto,Eletrodomésticos,6.94,Indisponivel,Filial 4,Indisponivel
Base líquida,Alimentos,57.36,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,4.27,Indisponivel,Filial 2,Indisponivel
Blush em pó,Roupas,67.2,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Alimentos,98.1,Indisponivel,Filial 3,Indisponivel
Blush em pó,Eletrodomésticos,84.94,Indisponivel,Filial 4,Indisponivel
Batom líquido,Alimentos,58.91,Indisponivel,Filial 6,Indisponivel
Pó compacto,Eletrônicos,96.86,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,85.35,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Eletrodomésticos,80.35,Indisponivel,Filial 10,Indisponivel
Blush em pó,Alimentos,2.15,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Roupas,64.49,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Alimentos,70.7,Indisponivel,Filial 3,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,44.67,Indisponivel,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,30.42,Indisponivel,Filial 9,Indisponivel
Corretivo,Alimentos,31.79,Indisponivel,Filial 6,Indisponivel
Batom matte,Eletrodomésticos,37.82,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrodomésticos,88.26,Indisponivel,Filial 5,Indisponivel
Blush em pó,Eletrônicos,26.6,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Roupas,74.21,Indisponivel,Filial 8,Indisponivel
Base líquida,Alimentos,45.22,Indisponivel,Filial 10,Indisponivel
Base líquida,Alimentos,28.09,Indisponivel,Filial 8,Indisponivel
Batom matte,Eletrônicos,62.53,Indisponivel,Filial 6,Indisponivel
Sombra de olhos,Alimentos,28.69,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Roupas,67.67,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Eletrônicos,86.63,Indisponivel,Filial 10,Indisponivel
Máscara de cílios,Alimentos,75.24,Indisponivel,Filial 9,Indisponivel
Delineador líquido,Roupas,9.53,Indisponivel,Filial 7,Indisponivel
Sombra de olhos,Roupas,58.7,Indisponivel,Filial 6,Indisponivel
Corretivo,Alimentos,41.91,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Roupas,34.24,Indisponivel,Filial 4,Indisponivel
Batom matte,Eletrônicos,15.69,Indisponivel,Filial 1,Indisponivel
Batom matte,Alimentos,68.83,Indisponivel,Filial 9,Indisponivel
Pó compacto,Alimentos,67.0,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Eletrônicos,29.15,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,98.94,Indisponivel,Filial 10,Indisponivel
Corretivo,Eletrônicos,50.1,Indisponivel,Filial 10,Indisponivel
Batom líquido,Roupas,63.19,Indisponivel,Filial 10,Indisponivel
Batom matte,Eletrodomésticos,25.2,Indisponivel,Filial 4,Indisponivel
Blush em pó,Alimentos,45.62,Indisponivel,Filial 9,Indisponivel
Base líquida,Alimentos,73.27,Indisponivel,Filial 2,Indisponivel
Base líquida,Roupas,77.17,Indisponivel,Filial 9,Indisponivel
Blush em pó,Eletrodomésticos,55.1,Indisponivel,Filial 1,Indisponivel
Batom líquido,Alimentos,72.3,Indisponivel,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,78.7,Indisponivel,Filial 7,Indisponivel
Corretivo,Roupas,47.23,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,84.6,Indisponivel,Filial 5,Indisponivel
Blush em pó,Eletrodomésticos,15.92,Indisponivel,Filial 10,Indisponivel
Delineador líquido,Eletrodomésticos,40.97,Indisponivel,Filial 4,Indisponivel
Pó compacto,Eletrônicos,17.85,Indisponivel,Filial 2,Indisponivel
Batom líquido,Eletrônicos,88.73,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrodomésticos,42.18,Indisponivel,Filial 3,Indisponivel
Blush em pó,Eletrodomésticos,90.03,Indisponivel,Filial 8,Indisponivel
Blush em pó,Eletrônicos,62.38,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Alimentos,2.3,Indisponivel,Filial 4,Indisponivel
Máscara de cílios,Eletrônicos,61.67,Indisponivel,Filial 4,Indisponivel
Blush em pó,Eletrodomésticos,12.87,Indisponivel,Filial 1,Indisponivel
Corretivo,Eletrônicos,95.35,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,66.98,Indisponivel,Filial 5,Indisponivel
Corretivo,Roupas,17.05,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Alimentos,2.35,Indisponivel,Filial 10,Indisponivel
Batom líquido,Alimentos,53.51,Indisponivel,Filial 3,Indisponivel
Corretivo,Alimentos,55.6,Indisponivel,Filial 9,Indisponivel
Pó compacto,Eletrônicos,45.67,Indisponivel,Filial 10,Indisponivel
Batom matte,Eletrônicos,6.39,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Alimentos,97.64,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Roupas,89.79,Indisponivel,Filial 4,Indisponivel
Corretivo,Eletrodomésticos,33.89,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Eletrodomésticos,24.9,Indisponivel,Filial 9,Indisponivel
Batom líquido,Eletrodomésticos,96.44,Indisponivel,Filial 10,Indisponivel
Delineador líquido,Eletrônicos,56.63,Indisponivel,Filial 10,Indisponivel
Batom líquido,Eletrodomésticos,91.76,Indisponivel,Filial 7,Indisponivel
Pó compacto,Eletrônicos,31.41,Indisponivel,Filial 5,Indisponivel
Delineador líquido,Roupas,41.49,Indisponivel,Filial 1,Indisponivel
Máscara de cílios,Alimentos,35.63,Indisponivel,Filial 5,Indisponivel
Base líquida,Roupas,13.17,Indisponivel,Filial 10,Indisponivel
Batom matte,Eletrônicos,35.1,Indisponivel,Filial 10,Indisponivel
Delineador líquido,Eletrônicos,26.65,Indisponivel,Filial 4,Indisponivel
Pó compacto,Roupas,44.3,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Alimentos,86.83,Indisponivel,Filial 5,Indisponivel
Lápis de sobrancelha,Eletrônicos,21.81,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrodomésticos,58.22,Indisponivel,Filial 2,Indisponivel
Batom matte,Eletrônicos,47.59,Indisponivel,Filial 1,Indisponivel
Blush em pó,Roupas,36.36,Indisponivel,Filial 8,Indisponivel
Batom matte,Roupas,23.1,Indisponivel,Filial 2,Indisponivel
Máscara de cílios,Eletrônicos,42.57,Indisponivel,Filial 9,Indisponivel
Batom matte,Roupas,87.49,Indisponivel,Filial 10,Indisponivel
Batom líquido,Eletrodomésticos,57.73,Indisponivel,Filial 8,Indisponivel
Sombra de olhos,Alimentos,90.69,Indisponivel,Filial 4,Indisponivel
Corretivo,Eletrodomésticos,42.19,Indisponivel,Filial 1,Indisponivel
Delineador líquido,Eletrodomésticos,57.16,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,60.34,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,52.33,Indisponivel,Filial 7,Indisponivel
Máscara de cílios,Alimentos,75.09,Indisponivel,Filial 3,Indisponivel
Máscara de cílios,Roupas,16.82,Indisponivel,Filial 3,Indisponivel
Batom líquido,Roupas,55.89,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Roupas,48.4,Indisponivel,Filial 1,Indisponivel
Batom líquido,Alimentos,79.22,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrodomésticos,71.86,Indisponivel,Filial 4,Indisponivel
Base líquida,Alimentos,42.08,Indisponivel,Filial 7,Indisponivel
Delineador líquido,Roupas,2.88,Indisponivel,Filial 7,Indisponivel
Batom matte,Eletrônicos,46.45,Indisponivel,Filial 9,Indisponivel
Batom matte,Alimentos,99.73,Indisponivel,Filial 10,Indisponivel
Base líquida,Eletrônicos,90.56,Indisponivel,Filial 6,Indisponivel
Batom líquido,Alimentos,77.96,Indisponivel,Filial 9,Indisponivel
Sombra de olhos,Roupas,89.09,Indisponivel,Filial 6,Indisponivel
Lápis de sobrancelha,Eletrônicos,50.84,Indisponivel,Filial 8,Indisponivel
Corretivo,Eletrônicos,80.3,Indisponivel,Filial 2,Indisponivel
Pó compacto,Roupas,84.23,Indisponivel,Filial 4,Indisponivel
Batom líquido,Eletrônicos,44.06,Indisponivel,Filial 2,Indisponivel
Delineador líquido,Eletrodomésticos,18.79,Indisponivel,Filial 6,Indisponivel
Base líquida,Eletrodomésticos,36.78,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Eletrônicos,97.3,Indisponivel,Filial 1,Indisponivel
Batom matte,Alimentos,36.58,Indisponivel,Filial 4,Indisponivel
Base líquida,Eletrônicos,42.94,Indisponivel,Filial 3,Indisponivel
Base líquida,Eletrodomésticos,69.63,Indisponivel,Filial 5,Indisponivel
Corretivo,Alimentos,93.65,Indisponivel,Filial 5,Indisponivel
Corretivo,Roupas,24.51,Indisponivel,Filial 2,Indisponivel
Batom líquido,Eletrônicos,10.69,Indisponivel,Filial 2,Indisponivel
Base líquida,Roupas,28.14,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrônicos,95.79,Indisponivel,Filial 6,Indisponivel
Pó compacto,Alimentos,63.76,Indisponivel,Filial 8,Indisponivel
Lápis de sobrancelha,Eletrônicos,27.3,Indisponivel,Filial 6,Indisponivel
Pó compacto,Eletrodomésticos,63.01,Indisponivel,Filial 6,Indisponivel
Delineador líquido,Alimentos,92.11,Indisponivel,Filial 4,Indisponivel
Blush em pó,Eletrodomésticos,10.97,Indisponivel,Filial 4,Indisponivel
Delineador líquido,Eletrodomésticos,94.17,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Alimentos,12.88,Indisponivel,Filial 7,Indisponivel
Batom matte,Roupas,15.27,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Alimentos,71.67,Indisponivel,Filial 3,Indisponivel
Pó compacto,Eletrodomésticos,30.27,Indisponivel,Filial 2,Indisponivel
Blush em pó,Eletrodomésticos,57.3,Indisponivel,Filial 1,Indisponivel
Corretivo,Eletrodomésticos,76.73,Indisponivel,Filial 5,Indisponivel
Sombra de olhos,Eletrodomésticos,66.39,Indisponivel,Filial 9,Indisponivel
Batom líquido,Eletrônicos,16.84,Indisponivel,Filial 7,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,15.01,Indisponivel,Filial 5,Indisponivel
Blush em pó,Eletrônicos,47.44,Indisponivel,Filial 2,Indisponivel
Sombra de olhos,Alimentos,71.13,Indisponivel,Filial 2,Indisponivel
Batom líquido,Alimentos,92.12,Indisponivel,Filial 10,Indisponivel
Base líquida,Eletrônicos,67.92,Indisponivel,Filial 9,Indisponivel
Lápis de sobrancelha,Eletrodomésticos,52.46,Indisponivel,Filial 9,Indisponivel
Batom líquido,Eletrônicos,2.72,Indisponivel,Filial 5,Indisponivel
Batom matte,Alimentos,84.72,Indisponivel,Filial 8,Indisponivel
Delineador líquido,Eletrônicos,72.44,Indisponivel,Filial 9,Indisponivel
Máscara de cílios,Alimentos,73.86,Indisponivel,Filial 8,Indisponivel
Batom líquido,Eletrônicos,78.87,Indisponivel,Filial 6,Indisponivel
Corretivo,Eletrodomésticos,48.12,Indisponivel,Filial 9,Indisponivel
Base líquida,Eletrônicos,88.12,Indisponivel,Filial 4,Indisponivel
Lápis de sobrancelha,Alimentos,59.25,Indisponivel,Filial 1,Indisponivel
Blush em pó,Eletrônicos,41.66,Indisponivel,Filial 6,Indisponivel
